"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000149089",-0.479902176229225,8.42621057910554,-11.3229150973767,1.96454685660203e-09,3.7626346776842e-05,10.319724807668
"ENSG00000166311",0.872810884541086,6.17146820937771,11.1738946106215,2.40750869314732e-09,3.7626346776842e-05,10.1063416509689
"ENSG00000134333",-1.19596404858102,13.6107874991091,-10.9184130907153,3.4283807407931e-09,3.7626346776842e-05,9.73545427169722
"ENSG00000164938",2.62701932077164,7.81075120592321,10.6322973171857,5.13210284112105e-09,3.7626346776842e-05,9.3123166919554
"ENSG00000204947",1.56014650331449,4.30443035104488,10.5135888572375,6.08175777558527e-09,3.7626346776842e-05,9.13429002610363
"ENSG00000079134",-0.571928309673317,7.96997101736051,-10.3157213745273,8.09690107953602e-09,3.7626346776842e-05,8.83426377019247
"ENSG00000186814",0.690055996733809,6.99074371264429,10.2954852063622,8.33929022682052e-09,3.7626346776842e-05,8.80334554385714
"ENSG00000163634",-0.396036510230816,9.05933808312861,-10.2815706561902,8.5103666100012e-09,3.7626346776842e-05,8.78206051662466
"ENSG00000166579",0.297563178927942,7.82374584719324,10.1590274050541,1.01858611527592e-08,3.7626346776842e-05,8.59370774780653
"ENSG00000109606",-0.554053671805707,11.2261564542152,-10.1382794023897,1.0502203956892e-08,3.7626346776842e-05,8.56165676443312
"ENSG00000171314",-0.648302975750904,12.2248911165415,-10.1061065885711,1.10132730514159e-08,3.7626346776842e-05,8.5118644739038
"ENSG00000186591",1.02310109119115,9.32816411255799,9.96174224664523,1.36490986168457e-08,4.27455645933064e-05,8.28704434833946
"ENSG00000100519",-0.407529156046796,9.36447236241728,-9.83065097602625,1.66176709402938e-08,4.80391301236294e-05,8.08089853154329
"ENSG00000127419",0.721625075618082,5.94001276298096,9.73097261762737,1.93242566821255e-08,4.83007774871773e-05,7.92286352745117
"ENSG00000185651",-0.279369584171853,10.4595177786032,-9.72148751218897,1.96048488757881e-08,4.83007774871773e-05,7.90776698297368
"ENSG00000163346",1.4680437924332,8.1039272808235,9.66648614469712,2.1318318145802e-08,4.83007774871773e-05,7.82002545077341
"ENSG00000124802",-0.771837380713577,8.54066047259135,-9.65038283411817,2.18491582789711e-08,4.83007774871773e-05,7.79427139385949
"ENSG00000185482",0.842888136152491,6.09327862441568,9.60358659494913,2.34718520751643e-08,4.90053151575972e-05,7.71926216425575
"ENSG00000120948",-0.512505293827486,10.9897434830141,-9.50550699593623,2.72962241567984e-08,5.21126089080565e-05,7.56123665978357
"ENSG00000130449",0.810852437840831,5.99525564128984,9.44153029023409,3.01382879498895e-08,5.21126089080565e-05,7.45755930938397
"ENSG00000112033",0.669048335624353,7.3126569157877,9.41972212521985,3.11765450277849e-08,5.21126089080565e-05,7.42210954755929
"ENSG00000136522",-0.4751360529942,9.03478779642354,-9.40021541983552,3.21369810721752e-08,5.21126089080565e-05,7.39035394780763
"ENSG00000004455",-0.58285655648958,11.3885789236181,-9.39472186447932,3.24130183399716e-08,5.21126089080565e-05,7.38140280274495
"ENSG00000156795",-0.507382065516741,6.71630325267016,-9.37777739636683,3.32801845026305e-08,5.21126089080565e-05,7.35377145697908
"ENSG00000122376",-0.572296131976319,8.98437526245794,-9.33046897593674,3.58323231594168e-08,5.25484036321255e-05,7.27644777918838
"ENSG00000174943",0.651738949815156,6.32869784980398,9.32121569636545,3.63550329803694e-08,5.25484036321255e-05,7.26129298505477
"ENSG00000157212",-0.45075425018604,8.94504306276482,-9.26550484167205,3.96755359063159e-08,5.52239375887132e-05,7.16983819738622
"ENSG00000241839",0.819218214065946,8.13724136720444,9.17143669060048,4.60225984503183e-08,6.06755389322223e-05,7.01458338368754
"ENSG00000188529",-0.509695288939311,10.5454125366037,-9.16057259500905,4.68212828033966e-08,6.06755389322223e-05,6.9965850327129
"ENSG00000142459",1.16759681337223,6.13376263767059,9.09668337779506,5.18211749424358e-08,6.49163858503893e-05,6.89045590266286
"ENSG00000128050",-0.630603453669853,12.1284035126002,-9.06515379191956,5.44916560292917e-08,6.60597072657036e-05,6.83790066016973
"ENSG00000167930",0.484859038086033,8.30316625143921,9.03863922828928,5.6848791267133e-08,6.67635757690665e-05,6.79361228657384
"ENSG00000196998",0.558378716000198,7.68892790531521,8.9934816192808,6.11121056572408e-08,6.82514078309205e-05,6.71798868513433
"ENSG00000115364",-0.510631958696931,9.33902214680382,-8.98703086022135,6.17479009672786e-08,6.82514078309205e-05,6.70716576339745
"ENSG00000013288",0.701514871599904,8.26134644306373,8.95267181618661,6.52529661989719e-08,6.93520625608047e-05,6.64943416362255
"ENSG00000056050",-0.54497937596978,7.27504884977441,-8.92646342435891,6.80661954159702e-08,6.93520625608047e-05,6.60530141136255
"ENSG00000110013",1.24211564872628,5.28483123310314,8.92294495627177,6.84534212530964e-08,6.93520625608047e-05,6.59937025112331
"ENSG00000146281",-0.759257609239111,9.16214241026702,-8.90798913191296,7.01252861102839e-08,6.93520625608047e-05,6.57414208221071
"ENSG00000086848",-0.300293473667121,7.88062876410829,-8.88287301518686,7.30297274866422e-08,7.03725689403974e-05,6.53171379233494
"ENSG00000115866",-0.460507449213661,10.4018242363948,-8.86611836440572,7.50370004933048e-08,7.04991378884722e-05,6.50336762886805
"ENSG00000010322",0.542994704836181,8.81169343872776,8.83195368760467,7.93109684183699e-08,7.10243748476298e-05,6.44546022102413
"ENSG00000172766",-0.394004090545891,7.74258920526468,-8.8308838925565,7.94488401385469e-08,7.10243748476298e-05,6.44364466598769
"ENSG00000085415",-0.702030798624709,9.90298863665596,-8.81696452325532,8.12657491404721e-08,7.10243748476298e-05,6.42000924595049
"ENSG00000151923",-0.36700472239715,9.65776551909475,-8.7996737323676,8.35834384264238e-08,7.13897545341689e-05,6.39061598261936
"ENSG00000180817",-0.383256602793261,11.4665774693069,-8.76698451457789,8.8156044650841e-08,7.20293646139874e-05,6.3349460092555
"ENSG00000136527",-0.704250777201722,11.1939181932565,-8.7549354265775,8.9906818757268e-08,7.20293646139874e-05,6.31439316366446
"ENSG00000198668",-0.486811470882909,10.5670049038968,-8.75374179446167,9.00822260412818e-08,7.20293646139874e-05,6.31235614083777
"ENSG00000265972",1.74468964556677,9.99059058887451,8.70583346914554,9.74263042402622e-08,7.62787070761103e-05,6.23045187038398
"ENSG00000187954",0.566322566522213,8.16802138674873,8.67263901923108,1.02880060183973e-07,7.83133685398424e-05,6.17353607681183
"ENSG00000164134",-0.617703833922806,10.557548195033,-8.64653125658125,1.07393341997189e-07,7.83133685398424e-05,6.1286752734594
"ENSG00000107949",-0.505917267225189,9.55612036561787,-8.63778228394998,1.08951700766123e-07,7.83133685398424e-05,6.11362303370753
"ENSG00000177854",0.819826067203795,4.14095189785773,8.62398132617851,1.11458148315154e-07,7.83133685398424e-05,6.08985971898796
"ENSG00000123737",-0.616443815187982,8.97664446500928,-8.6223980184348,1.11749529258839e-07,7.83133685398424e-05,6.08713196984327
"ENSG00000100522",-0.758846626849409,8.78629126193753,-8.60060954756109,1.15841204054754e-07,7.83133685398424e-05,6.04956272157684
"ENSG00000108953",-0.539773159030708,11.8275212894989,-8.58787030453533,1.18305787907831e-07,7.83133685398424e-05,6.02756939293085
"ENSG00000106868",0.981160988047992,5.28365806627368,8.58703374523386,1.18469537824858e-07,7.83133685398424e-05,6.02612442896572
"ENSG00000150768",-0.49611349101875,10.1778292714744,-8.58086685761038,1.19683991836092e-07,7.83133685398424e-05,6.01546985268404
"ENSG00000146963",-0.555591458976258,9.87454925720836,-8.57376291746848,1.21099126443913e-07,7.83133685398424e-05,6.00319043934731
"ENSG00000197746",0.951989795845305,11.5019939952298,8.56461386937282,1.22947466641407e-07,7.83133685398424e-05,5.98736669730692
"ENSG00000074800",-0.814756847480079,14.0855581983312,-8.53041390312268,1.30122027888522e-07,8.15019321679757e-05,5.92812342172783
"ENSG00000151247",-0.519904781065662,9.89359717166388,-8.48102709713379,1.41263937913273e-07,8.70301647658808e-05,5.84231387786792
"ENSG00000167088",-0.609137062220995,10.348129252647,-8.46688084512111,1.44635830639123e-07,8.76703088911107e-05,5.81767832265497
"ENSG00000095485",-0.300141363211383,8.39417765638446,-8.44512067797655,1.49987691326332e-07,8.85599087330652e-05,5.77973403835794
"ENSG00000140905",-0.761515425031373,8.14051271413618,-8.44182358829312,1.50816480639583e-07,8.85599087330652e-05,5.77397953523712
"ENSG00000011260",-0.494049915507398,9.5381507344459,-8.42425373734588,1.55314426838611e-07,8.97093497715769e-05,5.74329126475211
"ENSG00000115524",-0.381327289726673,11.8999015050558,-8.41352782087211,1.58129000918204e-07,8.97093497715769e-05,5.7245377598631
"ENSG00000165629",-0.406372550914355,10.5262149915916,-8.40674905711725,1.59935244796457e-07,8.97093497715769e-05,5.71267807879573
"ENSG00000125870",-0.503459295577737,9.51689536459173,-8.37249504099771,1.69397859608461e-07,9.36197200286115e-05,5.65266063827034
"ENSG00000175110",-0.422752529443444,8.45050270809587,-8.35932047175529,1.73191432460022e-07,9.4329090192465e-05,5.62953754887137
"ENSG00000112081",-0.671114306393877,12.0705856140196,-8.34853564442236,1.76362913479892e-07,9.46842093069691e-05,5.61059239236131
"ENSG00000136450",-0.792462451718933,12.0578509603725,-8.30813204544293,1.88794077348518e-07,9.63580679144207e-05,5.53948619295228
"ENSG00000143401",-0.714533756056726,11.1092175238541,-8.3049555276032,1.89809447943566e-07,9.63580679144207e-05,5.5338870508757
"ENSG00000158373",1.37154554515362,4.84441729153673,8.2982921781397,1.91957955158373e-07,9.63580679144207e-05,5.52213761656073
"ENSG00000165672",-0.524645324339591,10.87253379453,-8.29823001920468,1.91978116619616e-07,9.63580679144207e-05,5.52202798557916
"ENSG00000111300",-0.437428564075954,9.18609243783233,-8.29379683163368,1.93421754931898e-07,9.63580679144207e-05,5.51420781409462
"ENSG00000066044",-0.407114249547212,10.7566016622385,-8.27981316781408,1.9805019014495e-07,9.63580679144207e-05,5.48952414657813
"ENSG00000143942",-0.850467187786464,7.12565861329363,-8.27733786502878,1.98881464464944e-07,9.63580679144207e-05,5.48515219983539
"ENSG00000160445",0.828490905548153,8.52143498164946,8.27404545310418,1.99992796820862e-07,9.63580679144207e-05,5.47933584294676
"ENSG00000124762",2.24745445816247,7.6923159227917,8.25627552469203,2.06103911891697e-07,9.80454571240743e-05,5.44791972700693
