"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_INFLAMMATORY_RESPONSE",1.92179395210983e-10,8.73542705504466e-10,0.826657301178302,0.559402695535528,1.89145346486684,200,"CDKN1A;CCR7;SELL;BTG2;ADGRE1;SERPINE1;PTGER4;LAMP3;TNFSF9;ACVR1B;IRF1;IRF7;PTPRE;HBEGF;CHST2;GPR183;TNFSF15;PSEN1;PTGIR;GPR132;IRAK2;LCP2;PDE4B;BST2;ITGA5;EBI3;IL10;TLR1;ICAM1;MXD1;C3AR1;ATP2C1;P2RX7;ITGB3;TIMP1;IFNAR1;CD69;PLAUR;CXCL8;FPR1;GNA15;RGS1;CD40;CCRL2;TNFRSF1B;KIF1B;IL10RA;IL2RB;CALCRL;SCARF1;CXCL10;SCN1B;ICAM4;CD70;IFITM1;GABBR1;CCL5;CCL22;P2RX4;GCH1;MEFV;P2RY2;C5AR1;RNF144B;CX3CL1;IL1B;HIF1A;NLRP3;SLAMF1;EDN1;ITGB8;NOD2;EMP3;CSF1;CD82;RTP4;SLC31A2;TAPBP;IL1A;SEMA4D;CD48;NFKBIA;SPHK1;HPN;LY6E;RHOG;PIK3R5;HRH1;IL15;TNFRSF9;IL18;CXCL11;MET;RGS16;CXCL9;CD55;PCDH7;RASGRP1;IL4R;KCNA3;TNFAIP6;AXL;TNFSF10;LIF;IL15RA;ICOSLG"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",6.12844241481415e-09,2.55351767283923e-08,0.761460801445585,-0.562576324031365,-2.11583814160412,113,"EXOSC9;EIF4E;EIF4A1;NPM1;EXOSC2;EXOSC10;ALDH18A1;MTREX;ERO1A;FUS;BANF1;DKC1;HSPA9;EIF2S1;NFYB;SPCS3;NOLC1;GEMIN4;PDIA6;NOP14;IARS1;TARS1;KHSRP;EXOSC1;CNOT2;NHP2;XPOT;NOP56;IMP3;EIF4G1;RRP9;VEGFA;SKIC3;YWHAZ;CALR;EXOSC5;ASNS;CEBPG;HSPA5;LSM4;DDX10;PSAT1;CNOT6;ATF4;SRPRB;SERP1;SSR1;PAIP1;POP4;CKS1B;HYOU1;SLC30A5;SLC7A5;MTHFD2;EXOSC4;PREB;DCP2;HSP90B1;PDIA5;EIF4EBP1;KIF5B;YIF1A;CEBPB;DCTN1;DDIT4"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",2.71774875051556e-08,1.04528798096753e-07,0.73376198835648,0.53460599814476,1.8072213068243,199,"SERPINE1;BMP1;SAT1;BASP1;APLP1;QSOX1;LGALS1;PDGFRB;TGM2;SLC6A8;ACTA2;CD59;IGFBP4;CAPG;MFAP5;COL7A1;RHOB;ITGAV;FAS;CD44;ITGA5;SERPINH1;ITGB5;ITGB3;TIMP1;P3H1;PLAUR;CXCL8;LRP1;IL32;GADD45B;DST;GEM;VIM;TAGLN;ECM1;SDC4;GPC1;NOTCH2;MSX1;FBLN5;CALD1;EMP3;LAMC1;JUN;COL1A1;MYL9;ANPEP;DPYSL3;TFPI2;TPM2;SDC1;SPARC;FBN1;COL4A2;CTHRC1;COL16A1;FBLN1;THY1;FERMT2;LAMC2;IL15;LAMA3;GLIPR1;FUCA1;ITGB1;SGCB;TNC;FBN2;COL6A3;PMEPA1;FMOD;EFEMP2;LUM;TGFBR3;BDNF;TNFAIP3;COPA;PRSS2;CDH6;ECM2;PTX3;NID2;SLIT3;WNT5A;FGF2;VCAN;FN1;SPOCK1;ELN;AREG;GADD45A;PRRX1;COL4A1;COL5A3;CADM1;COL8A2;SPP1;VCAM1;SERPINE2;TNFRSF11B;SNAI2;INHBA;ID2;ADAM12;PMP22;COL1A2;LOXL1;TGFB1;SLIT2;ENO2;TGFBI;MMP14;FZD8;COL12A1;LOXL2;PCOLCE2;MYLK;FAP;ABI3BP;SNTB1"
"HALLMARK_P53_PATHWAY",6.5167810879989e-08,2.32742181714246e-07,0.704975715167238,0.528674735797275,1.78717083277811,199,"TXNIP;CDKN1A;ABAT;TAX1BP3;BLCAP;MXD4;TAP1;IER5;ANKRA2;ABCC5;ABHD4;IP6K2;TSPYL2;PROCR;BTG2;DRAM1;ATF3;TNFSF9;ACVR1B;DGKA;SOCS1;SAT1;PTPRE;ZMAT3;HBEGF;ZFP36L1;PTPN14;FOXO3;PRMT2;JAG2;NDRG1;CDKN2B;SESN1;CSRNP2;CCND2;TCN2;CTSF;PPP1R15A;F2R;FOS;CTSD;FAS;BTG1;ZNF365;MXD1;BAIAP2;XPC;PLXNB2;TRAFD1;ISCU;HMOX1;VWA5A;EPHA2;RETSAT;RXRA;RRAD;SERTAD3;GM2A;CEBPA;TSC22D1;VDR;PLK2;NINJ1;EPS8L2;JUN;RALGDS;CD82;FDXR;S100A10;RNF19B;IL1A;SDC1;TGFA;FBXW7;CASP1;TP63;SPHK1;BAK1;SEC61A1;PHLDA3;PMM1;EPHX1;APAF1;TOB1;AK1;RGS16;FUCA1;RHBDF2;CCNG1;SLC35D1;KIF13B;PDGFA;POLH;PRKAB1;TCHH;LIF;CD81;OSGIN1;ADA;CCND3;GLS2;WRAP73;NUPR1;DDB2;ST14;PERP;PIDD1;DEF6;RAB40C;RPS12;HEXIM1;ZBTB16;GADD45A;PLK3;ITGB4"
"HALLMARK_KRAS_SIGNALING_DN",1.27562603268187e-06,4.25208677560624e-06,0.643551836150722,0.500946071111826,1.69379981447679,200,"TCF7L1;BTG2;SYNPO;TG;SNN;TENT5C;IDUA;CLSTN3;CHST2;MAST3;PDCD1;SLC12A3;FGFR3;KCND1;MTHFR;RSAD2;CACNA1F;SGK1;TGFB2;SIDT1;RYR1;SLC30A3;ABCG4;IFI44L;ASB7;MX1;MYO15A;PDK2;CD80;CPEB3;KCNMB1;YPEL1;MEFV;SLC5A5;LFNG;EDN1;NPHS1;C5;COL2A1;COPZ2;SLC29A3;SNCB;KCNQ2;CELSR2;PRODH;NR4A2;PTPRJ;GP2;SELENOP;CKM;GPRC5C;ITIH3;SHOX2;EGF;SLC38A3;ARPP21;MYH7;GPR19;SKIL;CNTFR;SLC6A3;DLK2;ZC2HC1C;THNSL2;KCNN1;NRIP2;NR6A1;DCC;TAS2R4;NTF3;NOS1;ZBTB16;RYR2;CPA2;EDN2;TGM1;YBX2;PLAG1;RGS11;STAG3;ARHGDIG;UPK3B;PCDHB1;EFHD1;COQ8A;GPR3;NGB;P2RX6;FGGY;GAMT;CCNA1;IFNG;TFCP2L1;CAMK1D;AMBN;TFF2;CAPN9;CD40LG;PKP1;GP1BA;MAGIX;PDE6B;FGF22;SERPINB2;MACROH2A2;PRKN;VPREB1;IL12B;HNF1A;KCNE2;UGT2B17;VPS50;KMT2D;ATP4A;ADRA2C;KRT15;CALCB;SERPINA10;P2RY4;SCGB1A1;EPHA5;THRB;SPRR3;MYOT;EDAR;IL5;CDH16;HTR1D"
"HALLMARK_COAGULATION",1.58535279748873e-06,4.95422749215229e-06,0.643551836150722,0.545169139429321,1.77196260250629,138,"F8;GSN;CRIP2;RAPGEF3;SIRT2;MMP11;SERPINE1;CTSO;PLAU;BMP1;USP11;CTSB;CPQ;CAPN5;CTSH;MMP15;FURIN;S100A1;MST1;LAMP2;ITGB3;TIMP1;C3;PECAM1;LRP1;ISCU;CTSK;KLF7;CASP9;FYN;S100A13;A2M;ITIH1;MMP7;WDR1;C2;SERPINA1;TFPI2;ANG;CTSV;SPARC;PLAT;FBN1;TF;PDGFB;LGMN;HPN;PLEK;KLKB1;DUSP6;PROC;CFI;CD9;MMP9;MSRB2;CAPN2;HRG;CFH;MMP8;F12;HNF4A;CPN1;FN1;CFB;CFD;MASP2"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",2.47405961942937e-06,7.27664593949814e-06,0.627256739718528,0.597184249885701,1.85409240452492,87,"IL12RB1;STAT3;STAT2;IL13RA1;ACVR1B;IL17RA;IRF1;SOCS1;CSF2RB;IRF9;TNFRSF1A;LTBR;FAS;CD44;EBI3;ITGB3;IFNAR1;HMOX1;STAT1;IL2RA;TNFRSF1B;CCR1;CXCL10;CD36;A2M;TYK2;IL1B;DNTT;IL2RG;CSF1;JUN;SOCS3;IL10RB;TNF;CBL;BAK1;IL6ST;PIK3R5;CXCL11;CXCL9;CD9;IL7;CRLF2;IL4R;CSF2RA;IL15RA;CXCL13;IL9R;IFNGR1;CNTFR;LTB;CD14;PTPN1;MAP3K8"
"HALLMARK_DNA_REPAIR",6.17901903386572e-06,1.71639417607381e-05,0.610526878385931,-0.44248636484836,-1.71217292750831,150,"NME1;SSRP1;ERCC8;ALYREF;POLA1;RAE1;NUDT21;RBX1;SF3A3;SRSF6;POLR2H;AAAS;RFC5;PCNA;FEN1;RFC4;MRPL40;POLR2I;POLR2C;RPA3;POLR2F;RALA;DGCR8;POLR1H;DUT;RFC3;LIG1;PNP;GTF2A2;RFC2;POLD3;TAF6;NT5C;TYMS;TAF9;POLR2E;POLR2D;DDB1;PRIM1;NELFE;ZWINT;NELFCD;TARBP2;POLD1;SMAD5;POLA2;NCBP2;NUDT9;HPRT1;APRT;POLR2K;ERCC3;BCAP31;TMED2;COX17;NELFB;IMPDH2;GTF3C5;POLR2G;ADRM1;ITPA;CSTF3;UMPS;RNMT;GTF2H1;CETN2;POM121;POLR2J"
"HALLMARK_IL2_STAT5_SIGNALING",8.6341265633912e-06,2.27213856931347e-05,0.593325476396405,0.489441406230146,1.6545436094072,199,"SELL;MAPKAPK2;TRAF1;TLR7;AHNAK;ANXA4;SOCS1;PHLDA1;PRAF2;APLP1;IGF2R;CD83;TGM2;PLEC;NCOA3;CDCP1;NDRG1;CYFIP1;CCND2;CAPG;FURIN;GABARAPL1;PRKCH;S100A1;RHOB;ITGAV;CD44;TNFRSF4;HIPK2;IL10;MXD1;CTSZ;PRNP;IRF4;MAP6;CD86;GLIPR2;SYT11;MUC1;GPX4;PTCH1;IL2RA;TNFRSF1B;GADD45B;IL10RA;SERPINB6;IL2RB;NCS1;CXCL10;HOPX;BMPR2;RRAGD;IFITM3;P2RX4;ITGA6;FGL2;NFKBIZ;ECM1;ADAM19;BATF;SELP;FLT3LG;ABCB1;ETFBKMT;DHRS3;CSF1;SNX9;SYNGR2;TNFRSF18;DENND5A;CD48;GALM;TNFRSF9;RGS16;GBP4;IRF6;GPR83;CAPN3;IL4R;CCR4;RABGAP1L;SPRED2;PLSCR1;CISH;TNFSF10;LIF;CD81;SMPDL3A;ENO3;IFNGR1;CCND3;AMACR;CST7;TTC39B;SOCS2;BATF3;LTB;KLF6;TNFRSF8;MAP3K8;RORA;IKZF4;ITIH5;RHOH"
"HALLMARK_APOPTOSIS",1.53911065005821e-05,3.83830692223296e-05,0.575610261071129,0.50211978163353,1.6569654930048,160,"TXNIP;CDKN1A;CYLD;TAP1;GSN;PRF1;BTG2;ATF3;SQSTM1;LMNA;PEA15;PPP2R5B;IRF1;SAT1;PDGFRB;HSPB1;LGALS3;IGF2R;PLCB2;PSEN1;CCND2;RHOB;SATB1;F2R;FAS;CD44;PSEN2;TGFB2;PDCD4;CCND1;TIMP1;CD69;BMF;TSPO;EGR3;BIK;HMOX1;SMAD7;GPX4;GNA15;CASP9;CFLAR;GADD45B;RETSAT;PTK2;BCL2L2;IGFBP6;NEDD9;IFITM3;GCH1;IL1B;CASP8;MADD;SPTAN1;CREBBP;JUN;FEZ1;FDXR;ISG20;IL1A;CASP4;ERBB2;PLAT;TNF;GPX3;CASP1;BCL2L11;MCL1;IFNB1;CAV1;IL18;GPX1;NEFH;PMAIP1;TIMP2;BIRC3;H1-0;LUM;TGFBR3;TNFSF10;IFNGR1;BCL10;RNASEL;HGF;CD14;ERBB3;CDC25B;GADD45A;DDIT3;CDKN1B;RARA;ANXA1;BAX;XIAP;F2;PAK1;ENO2;CCNA1;CLU;CASP7;RELA;ADD1"
